lag,autocorrelation
778,0.04326021189803819
779,0.03954276386306224
780,0.0355376698445672
781,0.031336707222186545
782,0.027046347195892224
783,0.0227745543172619
784,0.01864590123794233
785,0.014779280682571921
786,0.011300692170817545
787,0.00829651707279132
788,0.005834992633292847
789,0.0039483002079081266
790,0.0026491535729920223
791,0.0019368983502081336
792,0.0017909649266941432
793,0.002170816668430029
794,0.003046749350760986
795,0.004376808787541374
796,0.006128207193917699
797,0.008262084098894219
798,0.010728443030127896
799,0.01347002073248688
800,0.01641642296899704
801,0.019485163785336525
802,0.022598605382305337
803,0.025680453496843374
804,0.028663848050224885
805,0.0314965090333974
806,0.0341330631110715
807,0.03654036745932406
808,0.038692872247025986
809,0.04057545263000884
810,0.04217239943713563
811,0.04346895713168964
812,0.044451991486455206
813,0.04510718135960591
814,0.04542730617849591
815,0.04540783395681638
816,0.04505752077406706
817,0.044383992418453866
818,0.043408419547408976
819,0.04215948821577317
820,0.04067462042110112
821,0.03898882363486684
822,0.037137361582116675
823,0.035165103628755724
824,0.033105901608085665
825,0.030986843369112307
826,0.028850900292563514
827,0.026740617338216827
828,0.02470351759969089
829,0.022769649715334708
830,0.020976796694893156
831,0.019355572388532652
832,0.017943989692464232
833,0.016754207012720485
834,0.015800268070096983
835,0.015079059327983587
836,0.014588484400182603
837,0.014312431669092
838,0.014245423351642097
839,0.014369123680292467
840,0.01467642799905259
841,0.015153849386705408
842,0.015779135043903915
843,0.016520202740429087
844,0.01736629336555413
845,0.018295025998015243
846,0.01929096179375316
847,0.020338487842666588
848,0.021429228756887724
849,0.022552614842955142
850,0.023719221590608422
851,0.024930158659001136
852,0.02619812575185754
853,0.027525812832676005
854,0.028912176549164677
855,0.030349271868725505
856,0.03183712176612493
857,0.03336001519970921
858,0.03490911316211636
859,0.03647171012735122
860,0.03803448046108346
861,0.03957458418514635
862,0.04106964843357826
863,0.04248968415551758
864,0.04379953545223948
865,0.04495523400216203
866,0.04589475070299016
867,0.04656098172749351
868,0.04690181512198599
869,0.046883442593899614
870,0.04647938443291442
871,0.04568348575374482
872,0.04450544605746416
873,0.04297007028985551
874,0.04110924474124483
875,0.03896659536017861
876,0.03657824178628783
877,0.033993673486875424
878,0.031261330710618734
879,0.028437261056135362
880,0.025578829213327714
881,0.022764048702983364
882,0.020070518397064308
883,0.01758127280744781
884,0.015372461681609561
885,0.013501399540865117
886,0.01202676118978599
887,0.010979923003701316
888,0.010362028815327272
889,0.010168044985724307
890,0.0103750681489846
891,0.010951227797339098
892,0.01186191400807013
893,0.013072349084124796
894,0.014550708568205195
895,0.016254577599720876
896,0.018142835349107635
897,0.02014922299532966
898,0.022210341137004118
899,0.02426212106561521
900,0.02625197078262148
901,0.0281009485395416
902,0.02977027608442892
903,0.031215724199398002
